Salesprice,Bedrooms,Properttype,Latitude,Longitude,Location
11000000,3,Bungalow,6.619413,3.510454, Ikorodu
6500000,3,Flat,6.61307,3.265907, Ipaja
9500000,2,Bungalow,6.61307,3.265907, Ipaja
5000000,2,Bungalow,6.50837,3.384247, Lagos Mainland
14000000,5,Bungalow,6.619413,3.510454, Ikorodu
5000000,4,Duplex,6.50837,3.384247, Lagos Mainland
65000000,4,House,6.617909,3.400106, Magodo
70000000,5,House,6.474028,3.588799,Lekki Phase 2
55000000,4,House,6.426404,3.468852,Lekki Phase 1
85000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
55000000,5,Duplex,6.50837,3.384247, Lagos Mainland
65000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
7000000,4,Flat,6.619413,3.510454, Ikorodu
12000000,4,Flat,6.5,3.35, Surulere
32000000,3,Bungalow,6.538079,3.321265, Isolo
35000000,5,Duplex,6.50837,3.384247, Lagos Mainland
150000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
28000000,5,Duplex,6.617909,3.400106, Magodo
130000000,3,Duplex,6.474028,3.588799,Lekki Phase 2
20000000,4,Duplex,6.5,3.35, Surulere
65000000,5,Duplex,6.472516,3.568616, Ajah
175000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
75000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
60000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
600000000,5,Flat,6.454812,3.434691, Ikoyi
45000000,3,House,6.474028,3.588799,Lekki Phase 2
5500000,2,Flat,6.50837,3.384247, Lagos Mainland
10000000,3,Bungalow,6.633668,3.357343, Ojodu
52000000,4,Duplex,6.454812,3.434691, Ikoyi
130000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
95000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
37000000,4,House,6.474028,3.588799,Lekki Phase 2
45000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
23000000,4,Duplex,6.546609,3.238251, Alimosho
35000000,5,Duplex,6.538079,3.321265, Isolo
26000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
50000000,3,Bungalow,6.472516,3.568616, Ajah
18000000,2,Flat,6.474028,3.588799,Lekki Phase 2
56000000,4,Duplex,6.472516,3.568616, Ajah
7500000,3,Bungalow,6.561638,3.384247, Gbagada
130000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
56000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
40000000,6,House,6.535498,3.308678, Oshodi-Isolo
55000000,4,House,6.474028,3.588799,Lekki Phase 2
13800000,2,Duplex,6.472516,3.568616, Ajah
60000000,9,Flat,6.538079,3.321265, Isolo
30000000,3,Duplex,6.474028,3.588799,Lekki Phase 2
43000000,3,Flat,6.534965,3.389289, Shomolu
30000000,3,Bungalow,6.601838,3.351486, Ikeja
42000000,4,Duplex,6.561638,3.384247, Gbagada
55000000,4,House,6.474028,3.588799,Lekki Phase 2
15500000,2,Flat,6.601838,3.351486, Ikeja
40000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
45000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
5500000,3,Flat,6.61307,3.265907, Ipaja
1500000,2,Flat,6.50837,3.384247, Lagos Mainland
13000000,2,Bungalow,6.472516,3.568616, Ajah
600000000,8,House,6.454812,3.434691, Ikoyi
75000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
70000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
36000000,3,Bungalow,6.426404,3.468852,Lekki Phase 1
37000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
56000000,4,House,6.426404,3.468852,Lekki Phase 1
55000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
75000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
22000000,5,Duplex,6.619413,3.510454, Ikorodu
55000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
75000000,5,House,6.474028,3.588799,Lekki Phase 2
35000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
145000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
30000000,3,Flat,6.474028,3.588799,Lekki Phase 2
140000000,5,Duplex,6.50837,3.384247, Lagos Mainland
28000000,3,Flat,6.617909,3.400106, Magodo
34000000,2,Flat,6.474028,3.588799,Lekki Phase 2
27000000,3,Flat,6.538079,3.321265, Isolo
520000000,4,House,6.454812,3.434691, Ikoyi
33000000,3,Bungalow,6.472516,3.568616, Ajah
35000000,3,Bungalow,6.472516,3.568616, Ajah
450000,3,Flat,6.472516,3.568616, Ajah
54000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
72000000,6,Duplex,6.561638,3.384247, Gbagada
20000000,4,Duplex,6.538079,3.321265, Isolo
55000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
125000000,3,Duplex,6.454812,3.434691, Ikoyi
175000000,3,Flat,6.426404,3.468852,Lekki Phase 1
30000000,2,Bungalow,6.50837,3.384247, Lagos Mainland
48000000,4,House,6.474028,3.588799,Lekki Phase 2
80000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
17000000,3,Flat,6.615356,3.323782, Agege
65000000,6,Duplex,6.601838,3.351486, Ikeja
135000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
35000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
80000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
35000000,4,House,6.474028,3.588799,Lekki Phase 2
60000000,4,House,6.474028,3.588799,Lekki Phase 2
75000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
35000000,2,Flat,6.5,3.35, Surulere
38000000,2,Flat,6.426404,3.468852,Lekki Phase 1
55000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
32000000,5,Duplex,6.538079,3.321265, Isolo
65000000,4,Duplex,6.615356,3.323782, Agege
15000000,3,Flat,6.633668,3.357343, Ojodu
40000000,4,Duplex,6.472516,3.568616, Ajah
150000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
67000000,5,Duplex,6.50837,3.384247, Lagos Mainland
60000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
65000000,4,House,6.454812,3.434691, Ikoyi
70000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
35000000,3,House,6.426404,3.468852,Lekki Phase 1
200000000,3,Flat,6.472516,3.568616, Ajah
140000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
90000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
30000000,5,House,6.428056,3.421944, Victoria Island
86000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
270000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
90000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
75000000,6,Duplex,6.684968,3.288546, Ifako-Ijaiye
65000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
33000000,3,Duplex,6.426404,3.468852,Lekki Phase 1
100000000,4,Duplex,6.517791,3.382686, Yaba
100000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
45000000,4,Duplex,6.601838,3.351486, Ikeja
7000000,4,Duplex,6.500076,3.804483, Ibeju
25000000,4,Flat,6.601838,3.351486, Ikeja
25000000,4,Flat,6.517791,3.382686, Yaba
24000000,3,Duplex,6.426404,3.468852,Lekki Phase 1
6500000,3,Flat,6.61307,3.265907, Ipaja
40000000,4,Duplex,6.472516,3.568616, Ajah
28500000,3,Flat,6.472516,3.568616, Ajah
68000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
55000000,4,Duplex,6.50837,3.384247, Lagos Mainland
37000000,4,Duplex,6.617909,3.400106, Magodo
27000000,4,Duplex,6.500076,3.804483, Ibeju
12000000,3,Flat,6.546609,3.238251, Alimosho
48000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
70000000,5,Duplex,6.619413,3.510454, Ikorodu
280000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
115000000,5,Duplex,6.617909,3.400106, Magodo
85000000,5,Duplex,6.472516,3.568616, Ajah
50000000,5,Duplex,6.5,3.35, Surulere
140000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
115000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
50000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
60000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
14000000,4,Flat,6.684968,3.288546, Ifako-Ijaiye
75000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
85000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
50000000,5,Duplex,6.684968,3.288546, Ifako-Ijaiye
100000000,3,Flat,6.474028,3.588799,Lekki Phase 2
45000000,3,Duplex,6.472516,3.568616, Ajah
22000000,3,Flat,6.538079,3.321265, Isolo
10950000,3,Flat,6.5,3.35, Surulere
65000000,3,Flat,6.426404,3.468852,Lekki Phase 1
25000000,3,Flat,6.500076,3.804483, Ibeju
42000000,3,Flat,6.426404,3.468852,Lekki Phase 1
250000000,3,Flat,6.601838,3.351486, Ikeja
85000000,3,Flat,6.472516,3.568616, Ajah
65000000,3,Flat,6.474028,3.588799,Lekki Phase 2
27000000,3,Flat,6.50837,3.384247, Lagos Mainland
55000000,3,Flat,6.474028,3.588799,Lekki Phase 2
320000,3,Flat,6.50837,3.384247, Lagos Mainland
28500000,3,Flat,6.472516,3.568616, Ajah
120000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
40000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
55000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
15000000,4,Duplex,6.428056,3.421944, Victoria Island
54000000,4,Duplex,6.472516,3.568616, Ajah
35000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
15000000,4,Duplex,6.5,3.35, Surulere
42000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
180000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
13000000,4,Duplex,6.535498,3.308678, Oshodi-Isolo
650000000,4,Duplex,6.454812,3.434691, Ikoyi
270000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
120000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
170000000,4,Duplex,6.601838,3.351486, Ikeja
90000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
1000000000,4,Duplex,6.454812,3.434691, Ikoyi
57000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
90000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
10000000,4,Duplex,6.619413,3.510454, Ikorodu
85000000,4,Duplex,6.617909,3.400106, Magodo
100000000,4,Duplex,6.617909,3.400106, Magodo
220000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
150000000,4,Duplex,6.454812,3.434691, Ikoyi
55000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
55000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
125000000,4,Duplex,6.472516,3.568616, Ajah
25000000,4,Duplex,6.538079,3.321265, Isolo
45000000,4,Duplex,6.517791,3.382686, Yaba
50000000,4,Duplex,6.633668,3.357343, Ojodu
70000000,4,Duplex,6.601838,3.351486, Ikeja
15000000,4,Duplex,6.5,3.35, Surulere
10000000,4,Duplex,6.50837,3.384247, Lagos Mainland
25000000,4,Duplex,6.633668,3.357343, Ojodu
95000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
220000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
105000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
10950000,4,Duplex,6.601838,3.351486, Ikeja
65000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
47000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
130000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
75000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
35000000,4,Duplex,6.61307,3.265907, Ipaja
400000000,4,Duplex,6.454812,3.434691, Ikoyi
170000000,4,Duplex,6.50837,3.384247, Lagos Mainland
13000000,5,Duplex,6.633668,3.357343, Ojodu
16000000,5,Duplex,6.601838,3.351486, Ikeja
130000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
130000000,5,Duplex,6.617909,3.400106, Magodo
14000000,5,Duplex,6.454812,3.434691, Ikoyi
33000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
300000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
90000000,5,Duplex,6.601838,3.351486, Ikeja
215000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
38000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
195000000,5,Duplex,6.428056,3.421944, Victoria Island
15000000,5,Duplex,6.619413,3.510454, Ikorodu
40000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
43000000,5,Duplex,6.617909,3.400106, Magodo
125000000,5,Duplex,6.428056,3.421944, Victoria Island
79000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
85000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
150000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
60000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
50000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
135000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
10000000,5,Duplex,6.500076,3.804483, Ibeju
80000000,5,Duplex,6.617909,3.400106, Magodo
48000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
23000000,4,Duplex,6.633668,3.357343, Ojodu
33000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
85000000,4,Duplex,6.517791,3.382686, Yaba
85000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
80000000,4,Duplex,6.617909,3.400106, Magodo
47000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
20000000,4,Duplex,6.617909,3.400106, Magodo
175000000,4,Duplex,6.617909,3.400106, Magodo
33000000,4,Duplex,6.472516,3.568616, Ajah
32000000,4,Duplex,6.500076,3.804483, Ibeju
68000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
15000000,4,Duplex,6.472516,3.568616, Ajah
110000000,4,Duplex,6.617909,3.400106, Magodo
170000000,4,Duplex,6.454812,3.434691, Ikoyi
120000000,4,Duplex,6.428056,3.421944, Victoria Island
55000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
130000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
210000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
40000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
13000000,4,Duplex,6.546609,3.238251, Alimosho
40000000,4,Duplex,6.617909,3.400106, Magodo
38000000,4,Duplex,6.428056,3.421944, Victoria Island
28000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
530000000,4,Duplex,6.454812,3.434691, Ikoyi
33000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
65000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
80000000,4,Duplex,6.538079,3.321265, Isolo
65000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
65000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
6000000,4,Duplex,6.61307,3.265907, Ipaja
52000000,4,Duplex,6.538079,3.321265, Isolo
10000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
80000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
200000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
150000000,4,Duplex,6.601838,3.351486, Ikeja
11000000,4,Duplex,6.538079,3.321265, Isolo
80000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
55000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
38000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
38000000,5,Duplex,6.50837,3.384247, Lagos Mainland
60000000,5,Duplex,6.61307,3.265907, Ipaja
90000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
35000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
36000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
680000000,5,Duplex,6.454812,3.434691, Ikoyi
6400000,5,Duplex,6.601838,3.351486, Ikeja
20000000,3,Flat,6.538079,3.321265, Isolo
1000000,3,Flat,6.50837,3.384247, Lagos Mainland
150000000,3,Flat,6.426404,3.468852,Lekki Phase 1
110000000,3,Flat,6.474028,3.588799,Lekki Phase 2
120000000,3,Flat,6.428056,3.421944, Victoria Island
90000000,3,Flat,6.50837,3.384247, Lagos Mainland
68500000,3,Flat,6.426404,3.468852,Lekki Phase 1
143000000,3,Flat,6.426404,3.468852,Lekki Phase 1
120000000,3,Flat,6.474028,3.588799,Lekki Phase 2
50000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
35000000,4,Duplex,6.472516,3.568616, Ajah
55000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
550000,4,Duplex,6.601838,3.351486, Ikeja
65000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
70000000,4,Duplex,6.50837,3.384247, Lagos Mainland
80000000,4,Duplex,6.617909,3.400106, Magodo
100000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
100000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
350000000,4,Duplex,6.428056,3.421944, Victoria Island
70000000,4,Duplex,6.472516,3.568616, Ajah
85000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
16675000,4,Duplex,6.472516,3.568616, Ajah
15000000,5,Duplex,6.546609,3.238251, Alimosho
700000000,4,Duplex,6.454812,3.434691, Ikoyi
11500000,4,Duplex,6.633668,3.357343, Ojodu
75000000,4,Duplex,6.428056,3.421944, Victoria Island
75000000,4,Duplex,6.472516,3.568616, Ajah
28000000,4,Duplex,6.538079,3.321265, Isolo
13000000,4,Duplex,6.50837,3.384247, Lagos Mainland
63000000,4,Duplex,6.619413,3.510454, Ikorodu
50000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
4000000,4,Duplex,6.546609,3.238251, Alimosho
85000000,4,Duplex,6.617909,3.400106, Magodo
65000000,4,Duplex,6.546609,3.238251, Alimosho
14500000,4,Duplex,6.633668,3.357343, Ojodu
18000000,4,Duplex,6.50837,3.384247, Lagos Mainland
120000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
85000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
27000000,4,Duplex,6.50837,3.384247, Lagos Mainland
65000000,4,Duplex,6.601838,3.351486, Ikeja
29000000,4,Duplex,6.534965,3.389289, Shomolu
55000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
115000000,4,Duplex,6.617909,3.400106, Magodo
73000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
16000000,4,Duplex,6.546609,3.238251, Alimosho
11000000,4,Duplex,6.50837,3.384247, Lagos Mainland
20000000,4,Duplex,6.633668,3.357343, Ojodu
27000000,4,Duplex,6.50837,3.384247, Lagos Mainland
95000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
148000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
110000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
35000000,4,Duplex,6.472516,3.568616, Ajah
82000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
151000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
75000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
65000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
45000000,4,Duplex,6.619413,3.510454, Ikorodu
110000000,4,Duplex,6.454812,3.434691, Ikoyi
3500000,4,Duplex,6.546609,3.238251, Alimosho
16650000,4,Duplex,6.472516,3.568616, Ajah
850000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
25000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
260000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
130000000,4,Duplex,6.601838,3.351486, Ikeja
280000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
1200000,4,Duplex,6.619413,3.510454, Ikorodu
170000000,4,Flat,6.426404,3.468852,Lekki Phase 1
35000000,4,Flat,6.50837,3.384247, Lagos Mainland
27000000,4,Flat,6.5,3.35, Surulere
180000000,4,Flat,6.474028,3.588799,Lekki Phase 2
70000000,4,Flat,6.474028,3.588799,Lekki Phase 2
99000000,4,Flat,6.601838,3.351486, Ikeja
40000000,4,Flat,6.472516,3.568616, Ajah
90000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
48000000,5,Duplex,6.472516,3.568616, Ajah
75000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
75000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
180000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
165000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
55000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
16000000,5,Duplex,6.50837,3.384247, Lagos Mainland
75000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
65000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
165000000,5,Duplex,6.50837,3.384247, Lagos Mainland
100000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
7000000,5,Duplex,6.546609,3.238251, Alimosho
148000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
33000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
40000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
6000000,5,Duplex,6.546609,3.238251, Alimosho
80000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
85000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
7500000,5,Duplex,6.5,3.35, Surulere
45000000,5,Duplex,6.472516,3.568616, Ajah
45000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
45000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
75000000,5,Duplex,6.428056,3.421944, Victoria Island
580000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
80000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
10000000,5,Duplex,6.472516,3.568616, Ajah
55000000,5,Duplex,6.517791,3.382686, Yaba
70000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
48000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
58000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
40000000,5,Duplex,6.546609,3.238251, Alimosho
45000000,5,Duplex,6.615356,3.323782, Agege
100000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
75000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
49000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
90000000,5,Duplex,6.601838,3.351486, Ikeja
40000000,5,Duplex,6.50837,3.384247, Lagos Mainland
40000000,5,Duplex,6.5,3.35, Surulere
110000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
8500000,5,Duplex,6.619413,3.510454, Ikorodu
45000000,5,Duplex,6.561638,3.384247, Gbagada
105000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
65000000,3,Flat,6.426404,3.468852,Lekki Phase 1
50000000,3,Flat,6.474028,3.588799,Lekki Phase 2
43000000,3,Flat,6.474028,3.588799,Lekki Phase 2
4500000,3,Flat,6.61307,3.265907, Ipaja
70000000,3,Flat,6.426404,3.468852,Lekki Phase 1
55000000,3,Flat,6.538079,3.321265, Isolo
120000000,3,Flat,6.474028,3.588799,Lekki Phase 2
69000000,3,Flat,6.474028,3.588799,Lekki Phase 2
57000000,3,Flat,6.426404,3.468852,Lekki Phase 1
35000000,3,Flat,6.426404,3.468852,Lekki Phase 1
220000000,3,Flat,6.426404,3.468852,Lekki Phase 1
47000000,3,Flat,6.474028,3.588799,Lekki Phase 2
68000000,3,Flat,6.474028,3.588799,Lekki Phase 2
60000000,3,Flat,6.472516,3.568616, Ajah
28000000,3,Flat,6.617909,3.400106, Magodo
65000000,3,Flat,6.474028,3.588799,Lekki Phase 2
70000000,3,Flat,6.426404,3.468852,Lekki Phase 1
